RutClienteEnvia,NombreClienteEnvia,IdTransaccion,RutClienteRecibe,NombreClienteRecibe,CodigoBancoReceptor,NombreBancoReceptor,MontoTransferencia,MonedaTransferencia,FechaTransferencia
23440869-6,Olalla del Amo,3B2EJFZPWU,23659323-0,Ruth Odalis Madrid Pagès,39,Banco Estado,6670225,CLP,25/11/2022
21870092-2,Chuy de Benet,6R601QE3U3,11967972-2,Rosendo de Saez,51,Banco Itaú,9959267,CLP,13/11/2022
14068897-3,Jose Carlos Nogués,UQWJCODQME,23144816-7,Bibiana Barón-Ribera,51,Banco Itaú,2549425,CLP,18/01/2023
20220623-0,Remigio Múñiz Pérez,J1NB0UB9S4,10161037-5,Nico Bayona Verdú,14,Scotiabank,6432242,CLP,30/09/2022
21859681-6,Alejandro Linares Calzada,4CFE19RXK3,13403743-2,Dan Aramburu-Zabaleta,14,Scotiabank,5592550,CLP,01/02/2023
22610611-5,María Dolores Sedano-Riba,4DYAQXR4ZL,19742825-0,Asunción Aurelia Ibáñez Ros,1,Banco de Chile,8566772,CLP,01/05/2023
15629931-0,Ricardo Alonso Moliner,SV43KJM4ZN,24009197-1,Leonor Camacho Milla,51,Banco Itaú,7072760,CLP,26/12/2023
21378089-5,Bárbara Badía Gelabert,3J02AC3F70,16702839-5,Jovita Clarisa Barragán Roman,9,Banco Internacional,9419599,CLP,23/02/2023
24766415-6,Bernabé Blázquez Valle,2DESASBGHK,23294865-9,Héctor de Ramirez,51,Banco Itaú,2596703,CLP,15/07/2022
10134822-6,Blanca Nieves Mascaró Ferrando,N2TKKFIGXS,21189670-0,Chuy Quirós Bustamante,28,Banco BICE,2860618,CLP,25/01/2023
20770664-8,Anunciación Flores Aroca,04ABQP88HW,10741854-2,Pánfilo del Barbero,37,Banco Security,256004,CLP,31/12/2023
22748817-1,Moisés Ferrera Aguado,R2I83CHOUU,23096616-7,Olegario Jimenez Santamaria,37,Banco Security,4906774,CLP,04/07/2022
10630805-1,Raúl de Tomé,HZWPXICKNU,21621396-4,Leoncio Daza Melero,16,Banco Santander,7723973,CLP,02/12/2022
16925326-7,Asdrubal Conde-Duran,YIF336JSJD,16608893-2,María Belén Valeria Tomé Artigas,51,Banco Itaú,1990426,CLP,17/05/2023
18954025-7,Mauricio Falcó Moles,SXWSUU0B4X,10360215-7,Claudia Aliaga Agustí,14,Scotiabank,8203067,CLP,22/06/2022
19397306-4,Guillermo Pineda Millán,6XR0NC6YP4,19397179-7,Ámbar Camacho Araujo,16,Banco Santander,3036472,CLP,25/03/2023
18037510-5,Gastón Galvez Echeverría,D6B9K8PMXG,20429378-2,Alexandra Alegria-Clavero,9,Banco Internacional,7124653,CLP,29/08/2022
14803940-1,Mariana Gomis Armengol,LT5J9N5UG1,13767124-7,Verónica Isabela Romero Ruiz,16,Banco Santander,2681611,CLP,13/02/2024
10104067-9,Artemio de Vallejo,OCOL9IIICX,11218963-2,Darío Tovar Medina,14,Scotiabank,7870239,CLP,23/09/2023
12359612-4,Brunilda Carpio Ribera,AM3P0EHHEH,12502309-7,Brunilda Eva Moliner Álvaro,14,Scotiabank,5276577,CLP,05/03/2024
20785418-0,Victoriano Bonet Artigas,ZHCK85U2OG,13873197-2,Porfirio Aristides Sebastián Almagro,37,Banco Security,5238750,CLP,20/03/2024
19838939-3,Omar Ródenas Ledesma,ST1GR28NG0,24099690-6,José Luis Cózar-Costa,49,Banco Falabella,5397877,CLP,22/09/2023
19473689-3,Nilo Flores Alegria,WYQZETM85C,24980822-6,Melchor de Donoso,1,Banco de Chile,9263454,CLP,10/06/2024
17187821-2,Hernando Herranz Girona,EVNNH5S828,19735188-9,Estefanía Lago Lago,39,Banco Estado,4881021,CLP,19/06/2022
16981004-5,Narcisa Barco-Samper,BORZUCOVR0,18884541-5,Gil Porcel Águila,28,Banco BICE,2117204,CLP,12/10/2022
21721236-4,Maxi Alcolea Bravo,H8C88OWS4K,17584708-1,Zacarías Galindo Leiva,55,Banco Consorcio,6223435,CLP,17/11/2023
15962894-5,María Dolores Oller Paredes,HV6UUQSAVT,22822121-4,Clímaco Cornejo Aragonés,49,Banco Falabella,990106,CLP,30/08/2022
13539268-4,María Dolores Osuna Aragonés,9YSR0KND8K,23986712-7,Alcides Correa Espada,37,Banco Security,3751901,CLP,09/11/2022
20555781-1,Gala Herranz Aguirre,X9X9C903M8,23246453-1,Fidel Castillo Bayona,39,Banco Estado,6732611,CLP,18/02/2024
11306240-3,Maura Tolosa-Barceló,ZELEMQQOM8,23781917-6,Renato Lastra,49,Banco Falabella,2188626,CLP,15/12/2022
20572750-0,Consuela Mate Amo,7U6ME67SQU,11029053-5,Moreno Castellanos-Garay,55,Banco Consorcio,3810842,CLP,19/09/2022
11091752-1,Luciano Egea,WJFSWIMVA7,10588634-2,Evelia de Vilanova,51,Banco Itaú,7124957,CLP,14/09/2022
19951530-7,Isaura Amat Trillo,M9YYXWXN6X,11580241-9,Cristóbal Lerma Merino,49,Banco Falabella,2405005,CLP,13/09/2023
11975218-5,Fernanda Pagès Amo,V52MPE08Y7,14415627-6,Evangelina Cuervo Llorens,16,Banco Santander,8225457,CLP,30/05/2024
12857444-1,Rosa María Cazorla-Ramos,S1JX8HIKJ0,15496374-7,Noemí del Mayoral,28,Banco BICE,370732,CLP,14/01/2023
22890052-9,Manuela Viana Calvet,JQDJ0JLENW,24761483-4,Lucía Tello,55,Banco Consorcio,2514118,CLP,22/10/2023
19078584-0,Aristides Márquez Colom,MQKO3W9U9J,16983106-1,María Carmen Montesinos Ruano,14,Scotiabank,83655,CLP,23/12/2023
17986168-2,Osvaldo del Merino,5ULV72DSDE,21985874-6,Candelario Adalberto Patiño Luís,16,Banco Santander,3309086,CLP,10/09/2022
19506049-7,Soraya Palacios Burgos,M3UIS05W5M,15579892-3,Ágata Prat-Yuste,51,Banco Itaú,6376750,CLP,14/08/2022
18299003-9,Gonzalo Bastida Mata,42KWRO7C6D,11998547-3,Gema Cerezo Alemán,16,Banco Santander,2855477,CLP,25/02/2024
13299973-2,Gilberto de Alcalá,UC1CUC1TAZ,11928719-8,José Luis del Asenjo,37,Banco Security,2946674,CLP,03/03/2023
21564770-9,Sebastián Gutierrez Lobato,DXXYVQ2JE7,23641083-5,Anselma Peñas Naranjo,55,Banco Consorcio,9027184,CLP,13/08/2023
16799153-1,Eli Gelabert-Arribas,13JENFXJVQ,20749551-7,Alma Santamaría,51,Banco Itaú,7878078,CLP,29/05/2023
21852534-2,Lilia Emperatriz Sanabria Rosell,WRB1WR25GW,16845713-0,Marina Balaguer Roca,39,Banco Estado,3667010,CLP,30/03/2023
11694164-8,Eufemia Noemí Gonzalez Roselló,F8ISAWHWN3,20929599-6,Amancio Valera Vallejo,55,Banco Consorcio,1989197,CLP,02/05/2024
23314072-0,Palmira Heredia Ballester,VV8QDRNWDE,18930612-7,Adela Quintana Méndez,9,Banco Internacional,2708253,CLP,22/02/2024
13535893-0,Rafa Perelló-Torrens,BKE13EHLL4,22275721-1,María Pilar del Riquelme,9,Banco Internacional,8434697,CLP,23/06/2023
13206558-3,Hipólito de Vicente,71GWZNNODQ,21312449-7,Adalberto Quevedo-Paz,9,Banco Internacional,362765,CLP,13/02/2023
15686599-9,Rosa del Abad,0ABS08O5R9,18378388-3,Clara Dávila Barrena,39,Banco Estado,3438393,CLP,16/11/2023
23863696-6,Iker Mayo Manso,UQWZDTYWWZ,24155706-9,Édgar Murillo-Calvo,28,Banco BICE,2792663,CLP,11/03/2023
16461986-0,Asdrubal Salomón Zorrilla Román,XHKRH2OZCC,15175815-1,Baltasar Montesinos Serna,51,Banco Itaú,9675851,CLP,09/03/2023
12541109-6,Candelas Ximena Méndez Córdoba,MHHS0MVVBH,13042467-2,Edelmira Sandoval-Asenjo,39,Banco Estado,8509911,CLP,08/03/2023
17355442-9,Arturo Querol,LFVAXZ10G9,19301775-9,Pedro Viña Roda,28,Banco BICE,3817813,CLP,14/02/2024
23469842-0,Laura Huertas Pineda,ESA8JMUGN1,21403956-9,Alex Ayllón Salinas,39,Banco Estado,711231,CLP,31/10/2023
20064155-1,María Imelda Frutos Vizcaíno,B774D6LARD,10881135-3,Ernesto Garmendia Almansa,55,Banco Consorcio,4859780,CLP,11/09/2022
17518165-0,Carlito Higueras-Seco,XMIYLU9QLM,19302217-0,Iris Morales Pujadas,1,Banco de Chile,6571382,CLP,31/08/2023
23375015-6,Lilia Feijoo Milla,Z2FBF0VU9T,10815997-2,Buenaventura Olivera Acevedo,16,Banco Santander,3175382,CLP,19/06/2022
18625000-3,Borja Solís Guzmán,J4QNMUK5PW,17585888-9,Victorino de Mayo,51,Banco Itaú,2854871,CLP,05/02/2024
20972690-7,Raúl Pulido-Mora,S57CKFCF6P,10100118-3,Dimas Rubio Cárdenas,14,Scotiabank,1299757,CLP,02/03/2023
22012488-9,Gabriel Báez Vaquero,GMIY1IJIAJ,23402890-6,Javier Amor España Gabaldón,39,Banco Estado,9610088,CLP,26/09/2023
13641006-8,Alejandro Arregui,6PJGWNZE73,10777899-2,María Luisa Cózar Carreño,1,Banco de Chile,7422574,CLP,21/04/2024
13127518-9,Tania Isern,IBGPEX8PF0,23878019-7,Paulino Armengol Mena,28,Banco BICE,9993045,CLP,18/11/2022
15211182-8,Gabino del Cerdán,4E1CNZ5Z47,23613460-8,Albert del Tejera,49,Banco Falabella,4006469,CLP,25/03/2023
24148202-3,Noelia Correa Palomino,JX3VKT4JHJ,18536295-2,Carolina Vázquez,28,Banco BICE,5970663,CLP,19/10/2022
21192831-4,Nayara Pablo Fernández,S0MWQFWE7H,10668602-8,Francisco Jose Pérez Marqués,1,Banco de Chile,4148925,CLP,11/03/2024
16010893-8,Mamen Herranz Calderon,L3V28W8R9B,15551914-0,Damián Vergara-Álvarez,14,Scotiabank,2488331,CLP,27/02/2023
14808135-8,Amador Pérez Palau,5P9QOS7H2S,24665249-5,Curro Reynaldo Sierra Vizcaíno,1,Banco de Chile,2593366,CLP,23/06/2023
12034211-7,Jafet Carlito Esteban Torrecilla,P7TBLXMAUQ,15378693-9,Elba Moraleda Plaza,49,Banco Falabella,9708671,CLP,13/07/2022
13897213-9,Marianela de Cabezas,DN6XKZRRMY,19244314-8,Cebrián Bernal Monreal,49,Banco Falabella,5638269,CLP,22/07/2022
17061275-6,Benigno Manjón Plana,612ESAGTTW,14578121-6,Joaquina Segarra Echeverría,37,Banco Security,5689449,CLP,12/02/2023
18113004-0,Joel Abad Benitez,OIGDN9QTIN,19033675-4,Juanito Castillo Sabater,49,Banco Falabella,9542308,CLP,24/11/2022
17081414-8,Máximo Santiago Arco Esteve,2BEQ8ZTUHV,13547114-3,Crescencia Leiva Arco,51,Banco Itaú,2707901,CLP,19/01/2024
21401347-6,Raquel Crespo Barral,FUWYXWF585,14921431-0,Balduino Virgilio Ávila Barreda,37,Banco Security,9272807,CLP,15/11/2022
17803644-3,Nilda Elías Llamas,BPGXIVW1DT,19059937-9,Álvaro Pombo-Español,9,Banco Internacional,6806180,CLP,23/03/2024
18333045-7,Gerónimo Lamas Antón,LWGSIJ10WZ,11501594-9,Federico Mendoza Martí,9,Banco Internacional,1088821,CLP,16/03/2023
20625353-1,Jesús Boada,1I25P6PCFO,22091712-3,Andrés Felipe Agustí Reguera,37,Banco Security,7949770,CLP,13/07/2022
14563656-5,Calisto Peinado-Vega,7UOFGMA33H,20740933-7,Bernardita Octavia Rosell Camacho,37,Banco Security,806704,CLP,09/07/2022
18296504-8,Heliodoro Guzman Ojeda,4F51G3QUC9,22162851-2,Dionisia Lara Lara,49,Banco Falabella,4255936,CLP,16/07/2022
12620296-0,María Manuela Palomares Julián,HY9C7K5II6,24460577-4,Úrsula Fabiola Padilla Ayllón,51,Banco Itaú,9032027,CLP,12/08/2023
22428646-4,Carmen Florina Soto Bueno,TRTY4HLP30,24489239-2,Rosa Garay Tejera,37,Banco Security,974021,CLP,15/06/2023
12452080-0,Luis Villena Manrique,6O8TPGD922,12877878-7,Zaida Giralt Chico,51,Banco Itaú,2550061,CLP,27/03/2024
18716463-5,Marisela del Vidal,6D8FH7C37P,21558655-0,Francisco Javier Campoy Osorio,9,Banco Internacional,5387436,CLP,10/05/2024
16175450-4,Inmaculada Molins Ojeda,X639Z7TQY9,18743650-9,Amílcar Casal Cantero,14,Scotiabank,4748147,CLP,14/03/2024
12523808-5,Onofre Zamora Pedro,ML14UPB80F,18151471-3,Ana Belén Cañellas Gras,9,Banco Internacional,5660901,CLP,26/04/2024
11016326-9,Jose Ignacio Nieto,H0062BAUWO,18646923-9,Fabián Roura Alcalde,55,Banco Consorcio,9451381,CLP,12/01/2023
18932621-9,Calixta Marqués Bou,F7EVXQBG2Y,20119594-5,Bernarda Figueroa Nuñez,37,Banco Security,8522864,CLP,26/04/2023
20384543-0,Urbano Segovia,8PDOO7Y6QG,19158577-6,Octavia Pozo,14,Scotiabank,9455947,CLP,29/08/2022
23925908-7,Pastor Zapata Donoso,C1TYRAT9ZI,24560146-7,Abraham Téllez,51,Banco Itaú,5302654,CLP,19/11/2023
14329316-0,Consuelo Leal,98OE2FUIAN,20358332-2,Susanita Paniagua,51,Banco Itaú,7403554,CLP,03/02/2023
15639456-3,Rafa Basilio Iborra Suárez,88MGCU0HUT,24542262-8,Brunilda Elorza-Casares,1,Banco de Chile,3477399,CLP,11/01/2023
24942328-8,Haroldo Flavio Manuel Rico,CG8Y4VWABW,17976552-8,Manolo de Velasco,28,Banco BICE,4763574,CLP,07/07/2023
24449836-6,Zoraida Ruano,LZ8MDWSO2J,24724473-1,Noelia del Fuente,9,Banco Internacional,7950169,CLP,27/10/2022
21561397-1,Abraham Pujol,UB4LLZCBQY,13400644-6,Fanny Arnaiz,1,Banco de Chile,5914550,CLP,30/09/2023
22412029-6,Irma Coca-Valero,0X3RQYBQKV,14583672-3,Máximo Mesa Alberdi,14,Scotiabank,7763496,CLP,15/02/2023
16479483-3,Enrique Delgado Valero,P5R39NSA89,10532950-7,Modesto Parejo Meléndez,9,Banco Internacional,4561338,CLP,15/09/2023
14613238-6,Consuela Teresa Baquero Araujo,I3GFROSUF1,10592601-2,Xavier Sarmiento Diego,37,Banco Security,3615885,CLP,10/08/2023
11900937-2,Valero Monreal Larrea,YZZYCTALFF,24687729-4,Cintia Guitart Sarabia,55,Banco Consorcio,669889,CLP,05/12/2023
13819573-9,Teodoro Bayo Manso,QS2H9Y2HK0,22476299-3,Joaquín Juliá-Lara,49,Banco Falabella,6605171,CLP,07/06/2024
21509351-3,Anastasio Viña Cuéllar,346LNWMUPJ,22463819-0,Federico Urrutia-Pol,9,Banco Internacional,1989308,CLP,20/02/2023
12108921-5,Adelia Baena Piña,S3VLA1UCGH,22110612-7,Toribio Remigio Morata Hoz,9,Banco Internacional,9510572,CLP,28/11/2023
