RutClienteEnvia,NombreClienteEnvia,IdTransaccion,RutClienteRecibe,NombreClienteRecibe,CodigoBancoReceptor,NombreBancoReceptor,MontoTransferencia,MonedaTransferencia,FechaTransferencia
20278265-5,Haroldo del Duran,WFXH9FKPU9,16007033-7,Nando Villalobos Iniesta,39,Banco Estado,340375,USD,07/07/2022
19394027-1,Mateo Manzanares Patiño,8JD8QT175M,14112253-7,Roldán Cánovas,55,Banco Consorcio,1991260,EUR,12/04/2023
18047753-4,Violeta Cabello Cabrero,JYS3H4LTV4,18123758-6,Violeta del Ferreras,28,Banco BICE,8243862,EUR,17/12/2023
21282560-3,Valentín Sevilla Múñiz,F16YTCL291,13842541-3,Onofre Carreño Romero,51,Banco Itaú,4458830,CLP,08/11/2023
16490874-1,Rosa María Macias Roma,OPKIVZ9RU6,22679706-2,Berto Múgica Boix,1,Banco de Chile,8024085,EUR,13/02/2023
15567478-4,Bartolomé Fonseca Infante,OUXBASDECI,13777411-3,Heraclio Benítez Abella,16,Banco Santander,1425823,CLP,13/04/2024
18170308-8,Eloy Vendrell Enríquez,L1RE0ZG2FY,15461781-8,Macario Herrera,14,Scotiabank,342665,USD,25/05/2024
16688293-8,Alfonso Alcolea Parejo,7LC5EGF0E7,12287899-2,Adoración Solano Muñoz,1,Banco de Chile,6981133,USD,16/07/2022
16125765-4,Susana Gálvez Oliva,DT7B0J8KG5,24293020-7,Angelita del Salazar,39,Banco Estado,333532,CLP,18/02/2024
14189243-1,Perla Galán Parra,XFZHQ36KEG,22837305-4,Leonel Machado Ferreras,14,Scotiabank,7639797,EUR,04/05/2023
16281564-9,Ruth Torrents Cobo,5NJRFROIR7,20909356-9,Carmen Iriarte Campo,9,Banco Internacional,3407679,EUR,17/12/2022
24821907-6,Maxi Morán Zabala,SPB51ZVG7O,18871143-7,Verónica Rueda-Múñiz,49,Banco Falabella,33785,CLP,02/05/2023
24228731-4,Sebastian del Catalán,LWKOY8VLJB,13128256-4,Carolina Barreda Vazquez,39,Banco Estado,4940423,EUR,26/04/2023
13135717-0,Nilo Cruz Valero,UVEE525REI,21122492-7,Anacleto Guillermo Benet Quero,9,Banco Internacional,6098443,EUR,29/12/2022
19146403-6,José María Cadenas Girona,8GQC6LQ9GX,23613546-3,Leandra Romero Escrivá,37,Banco Security,6275192,EUR,09/11/2023
12037231-9,Teófila Andrés,YTC1XFII6T,21972226-1,Leandro Vallejo Sanmartín,39,Banco Estado,7538395,EUR,28/10/2022
14098703-8,Maximiano José Valdés Echeverría,HHVZMKXRZV,21149263-3,Noé Gascón Simó,51,Banco Itaú,3056051,EUR,17/10/2022
17683187-3,Javi del Piñol,QAH5430V0F,21468519-4,Blanca Noelia Osuna Domingo,9,Banco Internacional,9822139,USD,10/08/2023
12359362-2,Fermín Blanch Ropero,BM2DTOAOQB,16105900-6,Rodrigo Riquelme,49,Banco Falabella,933075,CLP,24/08/2023
24449102-6,Ciro Segarra Correa,MAJWEPGU9Z,21404984-6,Anastasia Gisbert Huertas,1,Banco de Chile,6501693,USD,03/09/2022
24223269-7,Manolo Villaverde Araujo,2HMHJFSJPF,10510838-4,Mercedes Dominguez Cabeza,39,Banco Estado,6034569,EUR,23/01/2024
22958514-8,Delfina Sofía Nicolás Diaz,SESJAN77N8,18017337-4,Apolonia Cruz Oliva,39,Banco Estado,3862147,EUR,18/07/2023
19077951-2,Azeneth Ricart Valero,C6YFLDOBR9,20579196-4,Gala León Gomis,9,Banco Internacional,4610774,CLP,18/02/2024
17121919-6,Tadeo Cervera Guardiola,L6QQGTU08J,10603413-7,Francisco Jose Paredes,9,Banco Internacional,9273254,CLP,27/11/2022
13935064-3,Sosimo Arnaiz Clemente,50L6NMVU6M,14796870-9,Calista Llopis Morell,37,Banco Security,6880122,EUR,01/11/2022
21016934-0,Dorita Clarisa Pedrosa Dueñas,TCDY2B9GIG,11690777-1,Encarnación Bolaños Doménech,1,Banco de Chile,5639863,USD,18/06/2022
23115718-9,Celestina Pacheco Robledo,ZNFSA4LFBL,12861263-5,Juan Bautista del Escribano,39,Banco Estado,8534954,USD,29/04/2024
14464226-3,Rico Guzman,3PD6AT19HU,10418441-7,Alondra Cózar,1,Banco de Chile,4694790,EUR,30/01/2024
10631944-6,Sarita Vila Meléndez,JX8I88XYY0,15866430-7,Darío Cristian Gallego Barón,28,Banco BICE,710633,CLP,06/08/2022
15437722-2,Ani Vazquez Recio,13TEQI09LH,18182495-3,Amancio Águila Dueñas,1,Banco de Chile,8346183,CLP,17/02/2023
21189250-2,Blas Alcántara Salvador,FQEK8A0ZSV,24439469-5,Ascensión Aragón Planas,55,Banco Consorcio,1485215,EUR,25/01/2024
16346095-3,Pía Torralba Santos,PMUGMDU2SO,18536395-8,Luciana Marina Pujadas Otero,39,Banco Estado,7797849,CLP,05/12/2023
13339424-4,Luz Pérez,WFFHLLFRFI,16841847-6,Josep Rosell Manso,16,Banco Santander,3743266,USD,03/12/2022
10581761-4,Chita Garrido Cerro,PF3JWCP8BH,11594136-2,Luisa de Álvarez,16,Banco Santander,231648,CLP,22/10/2022
19397582-0,Almudena de Mayo,GJ17B98HCS,21478032-6,Anna Villalobos Viñas,16,Banco Santander,6203198,CLP,09/08/2023
10708247-7,Hermenegildo Vallés Requena,RHRKOV2Y13,10497581-0,Celso Abel Salvà Pozuelo,55,Banco Consorcio,6167985,CLP,28/07/2023
23668951-9,Trinidad Acevedo Yuste,6M17OUMFFK,14634438-7,Liliana Miguela Barroso Fuente,49,Banco Falabella,7692240,USD,29/12/2023
19709325-0,Juan Cervantes Artigas,C1742N8IOL,18188769-8,Alberto Sales,14,Scotiabank,5163399,USD,16/07/2022
16230314-4,Lucía Acevedo Jove,MIM2DP77FG,24417252-8,Francisca Pol-Ripoll,55,Banco Consorcio,2229621,USD,25/02/2024
24999179-3,Tristán Pujadas Tamayo,6EB7WWQ5DZ,21709038-2,Paco Zaragoza-Aguado,14,Scotiabank,508775,USD,26/04/2024
13791512-9,Graciano Baena Almazán,VIQBSAQAD2,23946672-6,Fabricio Arteaga Serra,16,Banco Santander,9355938,USD,21/03/2024
20063070-7,Perlita de Prada,080ASDMLTE,18177704-2,Mayte Rodrigo Gómez,28,Banco BICE,8267215,USD,20/12/2023
17459566-2,Noelia Oriana Almeida Falcón,DKP83BIGF7,16808446-9,Fernanda Pi Cánovas,14,Scotiabank,8033694,USD,05/01/2024
15817561-1,Kike Hoz Villa,30XJ6WI2IQ,19151791-1,Antonio Paz Ribera,55,Banco Consorcio,6365352,EUR,18/12/2022
21500114-6,Leyre Trujillo Valenciano,SR7OPLXM6S,10326251-5,Daniel del Alsina,28,Banco BICE,2201794,CLP,06/12/2023
