RutClienteRecibe,NombreClienteRecibe,NombreBancoReceptor,MontoTotalTransferencias,MonedaTransferencia
10122415-4,Vasco Benito,Banco Falabella,5514300.00,CLP
10140396-6,Dolores Berenguer Bolaños,Banco Estado,7325613.00,CLP
10163102-3,Samuel Amo Solano,Banco Itaú,3003187.00,USD
10265611-4,Sancho Jara Badía,Banco Internacional,3901449.00,USD
10268784-4,Baltasar Lucena Gomila,Banco Itaú,1643926.00,EUR
10284855-2,Mohamed Salgado Alcalá,Banco Itaú,9025769.00,USD
10326251-5,Daniel del Alsina,Banco BICE,2201794.00,CLP
10333610-5,Amaya Botella Planas,Banco Itaú,7885452.00,CLP
10338927-0,Lalo Aragón,Banco Consorcio,1654505.00,CLP
10365181-8,Ligia Serra-Abellán,Banco Falabella,1717727.00,EUR
10375298-7,Marcos Bernal Palau,Banco Itaú,4317573.00,EUR
10385357-5,Ágata Vélez Bermúdez,Banco Security,4816202.00,CLP
10394238-1,Rubén Camps Arnau,Banco Estado,5908521.00,CLP
10417405-4,Margarita Gil,Banco Falabella,3996440.00,CLP
10418441-7,Alondra Cózar,Banco de Chile,4694790.00,EUR
10439993-0,Domingo Bayón-Martinez,Banco Security,9209932.00,CLP
10455949-5,Diego Hernando Crespi,Banco Falabella,1163657.00,USD
10488577-9,Tania Diaz Cabrera,Banco Internacional,5961737.00,CLP
10497581-0,Celso Abel Salvà Pozuelo,Banco Consorcio,6167985.00,CLP
10510838-4,Mercedes Dominguez Cabeza,Banco Estado,6034569.00,EUR
10549290-7,Bernardita Valdés Tena,Scotiabank,7601219.00,USD
10603413-7,Francisco Jose Paredes,Banco Internacional,9273254.00,CLP
10666880-0,Noé Bejarano Gárate,Banco Consorcio,4715058.00,EUR
10666994-8,Leocadio de Quintero,Banco Santander,413980.00,EUR
10678908-5,María Belén Querol-Luz,Banco Itaú,5874899.00,EUR
10771899-5,Patricio Jiménez Puig,Scotiabank,4232562.00,EUR
10777111-3,Ascensión del Morata,Banco Itaú,9672390.00,EUR
10777508-2,Che del Uriarte,Banco Estado,5805441.00,EUR
10784924-4,Visitación del Cid,Banco Security,2667171.00,USD
10817794-5,Darío Vazquez,Banco Estado,2868959.00,EUR
10907826-8,Sancho Lluch Blazquez,Banco Santander,2953328.00,USD
10918565-0,Jose Antonio Castells Carvajal,Banco de Chile,9475491.00,EUR
10932124-9,Joel Goñi Corbacho,Banco BICE,4979523.00,CLP
10934848-5,Edmundo Cabeza Santamaría,Banco Security,2997735.00,USD
10960579-7,Georgina Roldan Salvador,Banco BICE,2413459.00,CLP
10977843-8,Clemente del Miró,Banco de Chile,3771552.00,USD
11013005-2,Victoriano del Báez,Banco Estado,2464290.00,USD
11022403-8,Amado Morán Cerezo,Banco Itaú,8236910.00,USD
11025370-9,Nieves Roig Frías,Banco Consorcio,9585520.00,CLP
11060891-9,Nadia Bello,Banco Security,5144870.00,EUR
11061801-0,Hernando Novoa Tomas,Banco de Chile,9405123.00,CLP
11073853-0,Faustino de Canals,Banco Falabella,5945343.00,CLP
11094750-4,Roldán Raya Sierra,Banco Estado,6452351.00,EUR
11221870-6,Casandra Egea Gaya,Banco Falabella,1956162.00,EUR
11243708-3,Antonio Pujol Blanch,Banco Itaú,3413737.00,USD
