RutClienteRecibe,NombreClienteRecibe,CodigoBancoReceptor,NombreBancoReceptor,MontoTotalTransferencias,MonedaTransferencia
10100118-3,Dimas Rubio Cárdenas,14,Scotiabank,1299757.00,CLP
10161037-5,Nico Bayona Verdú,14,Scotiabank,6432242.00,CLP
10360215-7,Claudia Aliaga Agustí,14,Scotiabank,8203067.00,CLP
10532950-7,Modesto Parejo Meléndez,9,Banco Internacional,4561338.00,CLP
10588634-2,Evelia de Vilanova,51,Banco Itaú,7124957.00,CLP
10592601-2,Xavier Sarmiento Diego,37,Banco Security,3615885.00,CLP
10668602-8,Francisco Jose Pérez Marqués,1,Banco de Chile,4148925.00,CLP
10741854-2,Pánfilo del Barbero,37,Banco Security,256004.00,CLP
10777899-2,María Luisa Cózar Carreño,1,Banco de Chile,7422574.00,CLP
10815997-2,Buenaventura Olivera Acevedo,16,Banco Santander,3175382.00,CLP
10881135-3,Ernesto Garmendia Almansa,55,Banco Consorcio,4859780.00,CLP
11029053-5,Moreno Castellanos-Garay,55,Banco Consorcio,3810842.00,CLP
11218963-2,Darío Tovar Medina,14,Scotiabank,7870239.00,CLP
11501594-9,Federico Mendoza Martí,9,Banco Internacional,1088821.00,CLP
11580241-9,Cristóbal Lerma Merino,49,Banco Falabella,2405005.00,CLP
11928719-8,José Luis del Asenjo,37,Banco Security,2946674.00,CLP
11967972-2,Rosendo de Saez,51,Banco Itaú,9959267.00,CLP
11998547-3,Gema Cerezo Alemán,16,Banco Santander,2855477.00,CLP
12502309-7,Brunilda Eva Moliner Álvaro,14,Scotiabank,5276577.00,CLP
12877878-7,Zaida Giralt Chico,51,Banco Itaú,2550061.00,CLP
13042467-2,Edelmira Sandoval-Asenjo,39,Banco Estado,8509911.00,CLP
13400644-6,Fanny Arnaiz,1,Banco de Chile,5914550.00,CLP
13403743-2,Dan Aramburu-Zabaleta,14,Scotiabank,5592550.00,CLP
13547114-3,Crescencia Leiva Arco,51,Banco Itaú,2707901.00,CLP
13767124-7,Verónica Isabela Romero Ruiz,16,Banco Santander,2681611.00,CLP
13873197-2,Porfirio Aristides Sebastián Almagro,37,Banco Security,5238750.00,CLP
14415627-6,Evangelina Cuervo Llorens,16,Banco Santander,8225457.00,CLP
14578121-6,Joaquina Segarra Echeverría,37,Banco Security,5689449.00,CLP
14583672-3,Máximo Mesa Alberdi,14,Scotiabank,7763496.00,CLP
14921431-0,Balduino Virgilio Ávila Barreda,37,Banco Security,9272807.00,CLP
15175815-1,Baltasar Montesinos Serna,51,Banco Itaú,9675851.00,CLP
15378693-9,Elba Moraleda Plaza,49,Banco Falabella,9708671.00,CLP
15496374-7,Noemí del Mayoral,28,Banco BICE,370732.00,CLP
15551914-0,Damián Vergara-Álvarez,14,Scotiabank,2488331.00,CLP
15579892-3,Ágata Prat-Yuste,51,Banco Itaú,6376750.00,CLP
16608893-2,María Belén Valeria Tomé Artigas,51,Banco Itaú,1990426.00,CLP
16702839-5,Jovita Clarisa Barragán Roman,9,Banco Internacional,9419599.00,CLP
16845713-0,Marina Balaguer Roca,39,Banco Estado,3667010.00,CLP
16983106-1,María Carmen Montesinos Ruano,14,Scotiabank,83655.00,CLP
17584708-1,Zacarías Galindo Leiva,55,Banco Consorcio,6223435.00,CLP
17585888-9,Victorino de Mayo,51,Banco Itaú,2854871.00,CLP
17976552-8,Manolo de Velasco,28,Banco BICE,4763574.00,CLP
18151471-3,Ana Belén Cañellas Gras,9,Banco Internacional,5660901.00,CLP
18378388-3,Clara Dávila Barrena,39,Banco Estado,3438393.00,CLP
18536295-2,Carolina Vázquez,28,Banco BICE,5970663.00,CLP
18646923-9,Fabián Roura Alcalde,55,Banco Consorcio,9451381.00,CLP
18743650-9,Amílcar Casal Cantero,14,Scotiabank,4748147.00,CLP
18884541-5,Gil Porcel Águila,28,Banco BICE,2117204.00,CLP
18930612-7,Adela Quintana Méndez,9,Banco Internacional,2708253.00,CLP
19033675-4,Juanito Castillo Sabater,49,Banco Falabella,9542308.00,CLP
19059937-9,Álvaro Pombo-Español,9,Banco Internacional,6806180.00,CLP
19158577-6,Octavia Pozo,14,Scotiabank,9455947.00,CLP
19244314-8,Cebrián Bernal Monreal,49,Banco Falabella,5638269.00,CLP
19301775-9,Pedro Viña Roda,28,Banco BICE,3817813.00,CLP
19302217-0,Iris Morales Pujadas,1,Banco de Chile,6571382.00,CLP
19397179-7,Ámbar Camacho Araujo,16,Banco Santander,3036472.00,CLP
19735188-9,Estefanía Lago Lago,39,Banco Estado,4881021.00,CLP
19742825-0,Asunción Aurelia Ibáñez Ros,1,Banco de Chile,8566772.00,CLP
20119594-5,Bernarda Figueroa Nuñez,37,Banco Security,8522864.00,CLP
20358332-2,Susanita Paniagua,51,Banco Itaú,7403554.00,CLP
20429378-2,Alexandra Alegria-Clavero,9,Banco Internacional,7124653.00,CLP
20740933-7,Bernardita Octavia Rosell Camacho,37,Banco Security,806704.00,CLP
20749551-7,Alma Santamaría,51,Banco Itaú,7878078.00,CLP
20929599-6,Amancio Valera Vallejo,55,Banco Consorcio,1989197.00,CLP
21189670-0,Chuy Quirós Bustamante,28,Banco BICE,2860618.00,CLP
21312449-7,Adalberto Quevedo-Paz,9,Banco Internacional,362765.00,CLP
21403956-9,Alex Ayllón Salinas,39,Banco Estado,711231.00,CLP
21558655-0,Francisco Javier Campoy Osorio,9,Banco Internacional,5387436.00,CLP
21621396-4,Leoncio Daza Melero,16,Banco Santander,7723973.00,CLP
21985874-6,Candelario Adalberto Patiño Luís,16,Banco Santander,3309086.00,CLP
22091712-3,Andrés Felipe Agustí Reguera,37,Banco Security,7949770.00,CLP
22110612-7,Toribio Remigio Morata Hoz,9,Banco Internacional,9510572.00,CLP
22162851-2,Dionisia Lara Lara,49,Banco Falabella,4255936.00,CLP
22275721-1,María Pilar del Riquelme,9,Banco Internacional,8434697.00,CLP
22463819-0,Federico Urrutia-Pol,9,Banco Internacional,1989308.00,CLP
22476299-3,Joaquín Juliá-Lara,49,Banco Falabella,6605171.00,CLP
22822121-4,Clímaco Cornejo Aragonés,49,Banco Falabella,990106.00,CLP
23096616-7,Olegario Jimenez Santamaria,37,Banco Security,4906774.00,CLP
23144816-7,Bibiana Barón-Ribera,51,Banco Itaú,2549425.00,CLP
23246453-1,Fidel Castillo Bayona,39,Banco Estado,6732611.00,CLP
23294865-9,Héctor de Ramirez,51,Banco Itaú,2596703.00,CLP
23402890-6,Javier Amor España Gabaldón,39,Banco Estado,9610088.00,CLP
23613460-8,Albert del Tejera,49,Banco Falabella,4006469.00,CLP
23641083-5,Anselma Peñas Naranjo,55,Banco Consorcio,9027184.00,CLP
23659323-0,Ruth Odalis Madrid Pagès,39,Banco Estado,6670225.00,CLP
23781917-6,Renato Lastra,49,Banco Falabella,2188626.00,CLP
23878019-7,Paulino Armengol Mena,28,Banco BICE,9993045.00,CLP
23986712-7,Alcides Correa Espada,37,Banco Security,3751901.00,CLP
24009197-1,Leonor Camacho Milla,51,Banco Itaú,7072760.00,CLP
24099690-6,José Luis Cózar-Costa,49,Banco Falabella,5397877.00,CLP
24155706-9,Édgar Murillo-Calvo,28,Banco BICE,2792663.00,CLP
24460577-4,Úrsula Fabiola Padilla Ayllón,51,Banco Itaú,9032027.00,CLP
24489239-2,Rosa Garay Tejera,37,Banco Security,974021.00,CLP
24542262-8,Brunilda Elorza-Casares,1,Banco de Chile,3477399.00,CLP
24560146-7,Abraham Téllez,51,Banco Itaú,5302654.00,CLP
